"m","error_type","Lower_CI","Mean_MSE","Upper_CI","localizer","metric"
12,"error_avg_degree_l2",0.00595994804025442,0.00727777777777778,0.00859560751530113,"L2","avg_degree"
12,"error_W1_l2",0.00730997298346336,0.00881944444444444,0.0103289159054255,"L2","W1"
12,"error_W2_l2",0.00754971832395336,0.00905555555555555,0.0105613927871578,"L2","W2"
12,"error_dMV_l2",0.00787394911720221,0.00934722222222222,0.0108204953272422,"L2","dMV"
20,"error_avg_degree_l2",0.00309424420881611,0.003795,0.00449575579118389,"L2","avg_degree"
20,"error_W1_l2",0.00618723852963016,0.00751,0.00883276147036985,"L2","W1"
20,"error_W2_l2",0.00716746391414013,0.00869,0.0102125360858599,"L2","W2"
20,"error_dMV_l2",0.00494253757638597,0.006195,0.00744746242361403,"L2","dMV"
30,"error_avg_degree_l2",0.00174957847845087,0.00207777777777778,0.00240597707710469,"L2","avg_degree"
30,"error_W1_l2",0.00534794115033009,0.00654222222222222,0.00773650329411436,"L2","W1"
30,"error_W2_l2",0.00640583017699393,0.00769111111111111,0.00897639204522829,"L2","W2"
30,"error_dMV_l2",0.00412264546524413,0.00534888888888889,0.00657513231253365,"L2","dMV"
40,"error_avg_degree_l2",0.001514442901233,0.001815,0.002115557098767,"L2","avg_degree"
40,"error_W1_l2",0.00577075129458627,0.0066875,0.00760424870541373,"L2","W1"
40,"error_W2_l2",0.00703340545612956,0.008105,0.00917659454387044,"L2","W2"
40,"error_dMV_l2",0.00389048609514577,0.00480625,0.00572201390485423,"L2","dMV"
12,"error_avg_degree",0.00505252804330194,0.00626388888888889,0.00747524973447584,"Linf","avg_degree"
12,"error_W1",0.00760544372345418,0.00895833333333333,0.0103112229432125,"Linf","W1"
12,"error_W2",0.00772255387943968,0.00909722222222222,0.0104718905650048,"Linf","W2"
12,"error_dMV",0.00799593259003946,0.00933333333333333,0.0106707340766272,"Linf","dMV"
20,"error_avg_degree",0.00437242174950837,0.00549,0.00660757825049164,"Linf","avg_degree"
20,"error_W1",0.00952739666782473,0.01119,0.0128526033321753,"Linf","W1"
20,"error_W2",0.0109354270838856,0.012785,0.0146345729161144,"Linf","W2"
20,"error_dMV",0.0085146657159553,0.010275,0.0120353342840447,"Linf","dMV"
30,"error_avg_degree",0.00353788419179092,0.00431555555555556,0.00509322691932019,"Linf","avg_degree"
30,"error_W1",0.0156753679640486,0.0177866666666667,0.0198979653692847,"Linf","W1"
30,"error_W2",0.0197561447581753,0.0221133333333333,0.0244705219084914,"Linf","W2"
30,"error_dMV",0.0138866447302649,0.0159777777777778,0.0180689108252906,"Linf","dMV"
40,"error_avg_degree",0.00373277766697109,0.0044425,0.00515222233302891,"Linf","avg_degree"
40,"error_W1",0.0218402975361636,0.02426875,0.0266972024638364,"Linf","W1"
40,"error_W2",0.0264292186707136,0.0291025,0.0317757813292864,"Linf","W2"
40,"error_dMV",0.0185700054023224,0.020945,0.0233199945976776,"Linf","dMV"
